participant_id,video_id,video_type,prime_type,classification_difficulty,action_match,trial,fixation_id,loop,frame,duration_ms,x_px,y_px
A110_002,33974,full,inpainted,Hard,1,21,7,2,10,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,11,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,12,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,13,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,14,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,15,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,16,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,17,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,18,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,19,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,8,2,26,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,27,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,28,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,29,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,30,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,31,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,32,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,33,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,34,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,8,2,35,152,246.8023952,124.6786427
A110_002,33974,full,inpainted,Hard,1,21,9,2,36,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,37,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,38,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,39,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,40,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,41,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,42,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,43,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,44,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,45,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,46,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,47,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,9,2,48,203,277.4610778,100.5988024
A110_002,33974,full,inpainted,Hard,1,21,10,2,49,79,277.2055888,105.5808383
A110_002,33974,full,inpainted,Hard,1,21,10,2,50,79,277.2055888,105.5808383
A110_002,33974,full,inpainted,Hard,1,21,10,2,51,79,277.2055888,105.5808383
A110_002,33974,full,inpainted,Hard,1,21,10,2,52,79,277.2055888,105.5808383
A110_002,33974,full,inpainted,Hard,1,21,10,2,53,79,277.2055888,105.5808383
A110_002,33974,full,inpainted,Hard,1,21,11,2,56,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,57,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,58,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,59,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,60,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,61,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,62,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,63,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,64,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,65,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,66,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,67,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,68,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,69,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,70,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,71,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,72,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,73,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,74,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,75,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,76,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,77,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,78,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,79,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,80,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,81,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,82,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,83,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,84,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,85,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,86,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,87,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,88,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,89,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,90,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,91,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,92,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,93,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,94,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,95,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,96,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,97,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,98,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,99,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,11,2,100,736,272.0958084,115.8642715
A110_002,33974,full,inpainted,Hard,1,21,12,2,107,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,108,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,109,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,110,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,111,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,112,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,113,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,114,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,115,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,116,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,117,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,118,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,119,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,120,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,121,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,122,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,123,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,124,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,125,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,126,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,127,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,128,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,129,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,130,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,131,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,132,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,133,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,134,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,135,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,136,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,137,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,12,2,138,590,277.5249501,125.5728543
A110_002,33974,full,inpainted,Hard,1,21,13,3,6,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,7,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,8,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,9,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,10,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,11,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,12,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,13,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,14,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,13,3,15,165,215.9520958,164.9181637
A110_002,33974,full,inpainted,Hard,1,21,14,3,16,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,17,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,18,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,19,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,20,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,21,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,22,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,23,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,24,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,25,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,14,3,26,169,239.7125749,152.9101796
A110_002,33974,full,inpainted,Hard,1,21,15,3,41,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,42,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,43,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,44,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,45,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,46,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,47,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,48,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,49,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,50,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,15,3,51,174,256.6387226,130.4271457
A110_002,33974,full,inpainted,Hard,1,21,16,3,71,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,72,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,73,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,74,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,75,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,76,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,77,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,78,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,79,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,80,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,81,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,82,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,83,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,84,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,85,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,86,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,87,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,88,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,89,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,90,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,91,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,92,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,93,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,94,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,95,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,96,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,97,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,98,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,99,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,100,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,101,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,16,3,102,509,249.4211577,126.0199601
A110_002,33974,full,inpainted,Hard,1,21,17,3,115,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,116,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,117,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,118,315,249.4850299,162.0439122
